,hotel_name,rating,room_description,price,location_descirption,long_description
0,Hotel Turin Barcelona,8.2,"Double Room
1 double bed
Free cancellation","€ 1,323","Ciutat Vella, BarcelonaShow on map450 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel Turin Barcelona! To save at this property, all you have to do is sign in.
Hotel Turin Barcelona is located just 50 meters from the famous Ramblas in Barcelona. It offers free Wi-Fi, 24-hour reception, free luggage storage and a lovely sun terrace. There is free water, coffee and tea in the lobby lounge.

It features stylish rooms with wooden floors and furnishings. They are equipped with a private bathroom, hairdryer, safe, Smart TV and minibar.

The Turin Hotel is located just 150 meters from the Gothic District, 3 minutes from the Liceu metro and a 20-minute walk from the beach. In the area there are several restaurants, shops and supermarkets open until late.

The hotel offers a fabulous breakfast buffet. Most of the food items come from La Boquería Market, located 2 minutes' walk away."
1,Sonder Los Arcos,8.4,"King Room
1 extra-large double bed
Only 1 room left at this price on our site","€ 1,530","Ciutat Vella, BarcelonaShow on map1 km from centreMetro accessBeach nearby","Sonder Los Arcos features accommodation with free WiFi in Barcelona, ideally set less than 1 km from Plaça Catalunya and a 15-minute walk from Tivoli Theatre. Popular points of interest nearby include Cathedral of Barcelona, Boqueria Market and Picasso Museum. The property is less than 1 km from the city centre and 2 km from Sant Sebastian Beach.

All rooms are fitted with air conditioning, a flat-screen TV with cable channels, a coffee machine, a bath or shower, free toiletries and a desk. The rooms have a private bathroom, a hairdryer and bed linen.

Popular points of interest near the hotel include Passeig de Gracia, Palau de la Musica Catalana and Portal de l'Angel. The nearest airport is Barcelona El Prat Airport, 13 km from Sonder Los Arcos."
2,Hotel Sansi Barcelona,8.0,"Basic Double
1 double bed","€ 1,300","Eixample, BarcelonaShow on map450 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel Sansi Barcelona! To save at this property, all you have to do is sign in.
Well situated in the Eixample district of Barcelona, Hotel Sansi Barcelona is set 600 metres from Plaça Catalunya, 400 metres from Passeig de Gracia Metro Station and 500 metres from Casa Batllo. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is 400 metres from Passeig de Gracia, and within 600 metres of the city centre.

The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bath.

Popular points of interest near Hotel Sansi Barcelona include Boqueria Market, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."
3,ibis Styles Barcelona City Bogatell,8.5,"Standard Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 7 rooms left at this price on our site","€ 1,403","Sant Martí, BarcelonaShow on map2.1 km from centreMetro accessBeach nearby","Located in Barcelona, 900 metres from Port Olympic, ibis Styles Barcelona City Bogatell features private parking and free WiFi access. The hotel has an outdoor pool and children's playground, and guests can enjoy a drink at the bar.

A TV is available.

You will find a 24-hour front desk at the property.

You can play table tennis at the hotel. The hotel also offers bike hire. Picasso Museum is 1.5 km from ibis Styles Barcelona City Bogatell, while La Seu, Cathedral of Barcelona is 1.8 km from the property. The nearest airport is Barcelona El Prat Airport, 15 km from ibis Styles Barcelona City Bogatell."
4,SM Hotel Sant Antoni,8.6,"Double or Twin Room
Beds: 1 double or 2 singles
Only 1 room left at this price on our site","€ 1,197","Eixample, BarcelonaShow on map1.5 km from centreMetro accessBeach nearby","Situated 5 minutes' walk from the Sagrada Familia, this stylish, modern hotel offers a 24-hour reception desk and free Wi-Fi access available throughout. Monumental Metro Station is 200 metres away.

Rooms at SM Hotel Sant Antoni feature parquet floors, a safe, work desk and flat-screen TV. Decorated in white, black and red tones, they have air conditioning and heating, and the private bathroom comes with a hairdryer and toiletries.

The Sant Antoni offers a continental buffet breakfast, and drinks and snacks are available from the vending machines. A wide range of cafés and restaurants can be found within a 5-minute walk.

SM Hotel Sant Antoni is 900 metres from L’Auditori Concert Hall and the National Theatre. Glòries Shopping Centre and Passeig de Gràcia Boulevard can both be reached within a 20-minute walk. You can reach Plaza Catalunya in 10 minutes by bus or metro."
5,Four Points by Sheraton Barcelona Diagonal,8.8,"Classic King Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site","€ 1,724","Sant Martí, BarcelonaShow on map3 km from centreBeach nearby","Four Points by Sheraton Barcelona Diagonal is situated 350 metres from Glòries Shopping Centre, in the modern 22@ district of Barcelona. It offers an elegant restaurant and soundproofed rooms with free Wi-Fi and TV.

Rooms at the Four Points Barcelona Diagonal are bright and spacious, with wooden flooring. Each room has a stylish bathroom with a hairdryer and toiletries. Rooms on higher floors offer great views, some of the Sagrada Familia.

La Avenida Restaurant serves traditional Spanish cuisine. A varied buffet breakfast is offered daily, and free coffee is available from 05:00 until 07:00. Taste local crafted beers, snacks and enjoy the best sports projections at 4Taps Bar.

The Four Points Diagonal is 600 metres from the colourful Agbar Tower, designed by Jean Nouvel. There are many bars and restaurants on nearby Rambla del Poblenou, and Bogatell Beach is within a 15-minute walk. Poblenou Metro Station is only 500 metres away."
6,Hotel del Mar,8.4,"Room Assigned on Arrival
1 single bed","€ 1,205","Ciutat Vella, BarcelonaShow on map1.3 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel del Mar! To save at this property, all you have to do is sign in.
Hotel del Mar is set in a listed building just 800 metres from the seafront and Barceloneta Metro Station. It is a 5-minute walk from the trendy Born neighbourhood and Ciutadella Park.

The air-conditioned rooms at Hotel del Mar have flat-screen satellite TV. There is a private bathroom with a hairdryer and amenities, and some rooms have a private balcony. A safe is also available with a surcharge.

Hotel del Mar has a 24-hour front desk. Barcelona’s França Train Station is a 5-minute walk away, and you can walk to Barcelona Cathedral and Maremagnum Shopping Centre in 10 minutes. Parking is available 5 minutes' walk from the property."
7,Golden Hotel Barcelona,8.4,"Double Room
Beds: 1 double or 2 singles
Free cancellation","€ 1,367","Sant Martí, BarcelonaShow on map2.3 km from centreMetro accessBeach nearby","Situated in Barcelona, 1.4 km from Sagrada Familia, Golden Hotel Barcelona is a sustainable property with the Biosphere certificate. It provides a rooftop terrace with outdoor swimming pool, jacuzzi and bar. 1.5 km from Port Olympic, the property is also 1.7 km from Sagarda Familia and 1.9 km away from Picasso Museum. There is a gym, a restaurant and a shared lounge.

 All guests staying at the Golden Hotel Barcelona get 1 free entry for person and stay to the spa at Hotel & Spa Villa Olimpic@ Suites complex (subject to availability and with prior reservation), located 450 meters away.

A buffet breakfast is available each morning at the property.

Speaking Spanish, Catalan, German and English at the reception, staff are ready to help around the clock.

Barcelona El Prat Airport is 15 km from the property."
8,Hotel Concordia Barcelona,8.2,"Basic Double Room
1 double bed
Free cancellation","€ 1,625","Sants-Montjuïc, BarcelonaShow on map1.6 km from centreMetro accessBeach nearby","Hotel Concordia Barcelona is situated 800 metres from Plaza España and the Fira de Barcelona Exhibition Centre. It features a sun terrace with an outdoor swimming pool, hot tub, cocktail bar and solarium.

The Hotel Concordia Barcelona’s bright, spacious rooms feature contemporary décor and air conditioning.  Each room includes free WiFi, a flat-screen TV, safe, minibar and a private bathroom with a range of amenities.

The Concordia Barcelona’s modern, elegant  Bistro Triple Sec Restaurant serves typical Mediterranean cuisine. The varied breakfast buffet includes healthy options. There is also a café and cocktail bar open daily. Private parking is available on site for an extra cost and electrical cars charging station is available.

Located next to Poble Sec Station, the hotel is a 5-minute Metro journey from Barcelona Port and La Rambla. You can also walk to the Rambla in 15 minutes. Direct airport buses stop in Plaza España, a 15-minute walk away.

Private parking is available on site for an extra cost."
9,Allegro Barcelona,8.8,"Superior Double Room
Beds: 1 double or 2 singles
Only 4 rooms left at this price on our site","€ 1,427","Eixample, BarcelonaShow on map1.3 km from centreMetro access","You're eligible for a Genius discount at Allegro Barcelona! To save at this property, all you have to do is sign in.
Allegro Barcelona is a futuristic design hotel, situated 100 metres from Barcelona’s Diagonal Metro Station. Its stylish rooms include free Wi-Fi, digital radio and LCD TV with satellite channels.

Each room at Allegro Barcelona features elegant white décor with colourful touches. Rooms are air-conditioned and come with an electronic safe. Bathrooms include a hairdryer and toiletries.

A continental breakfast buffet is served until 10:30 each day at Allegro Barcelona. Numerous tapas bars and pavement cafés can be found on Rambla de Catalunya, a 5-minute walk away.

Other facilities include portable WiFi for no charge.

The famous Gaudi buildings and designer shops of Passeig de Gracia are just 500 metres from the hotel, while Plaza Catalunya is a 15-minute walk away. Staff at the 24-hour reception can provide information about Barcelona, recommend excursions and arrange airport transfers."
10,Ibis Barcelona Plaza Glòries 22@,8.3,"Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 7 rooms left at this price on our site","€ 1,279","Sant Martí, BarcelonaShow on map2.6 km from centreMetro accessBeach nearby","Ibis Barcelona Plaza Glòries 22@ is located in Barcelona’s Glòries district, 500 metres from Torre Agbar. It offers a fitness centre, 24-hour bar and soundproofed rooms with a flat-screen TV.

All rooms at the Ibis Plaza Glòries have air conditioning and heating. They also have a private bathroom with a hairdryer. Free Wi-Fi is offered throughout.

The Hotel Ibis Plaza Glòries has a restaurant which serves a buffet breakfast. Rates with breakfast included does not include breakfast for children. Children under 12 can enjoy breakfast for 4 euros per person

Llacuna and Glòries Metro Stations are within 5 minutes’ walk from the hotel. From here you can reach Plaza Catalunya or Barceloneta Beach in under 10 minutes."
11,Hotel Glòries,7.9,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,086","Eixample, BarcelonaShow on map1.9 km from centreMetro accessBeach nearby","This modern hotel is located 200 metres from Barcelona’s Monumental Bull Ring and 12 minutes from the Sagrada Familia. The rooms all have air conditioning and heating, satellite TV and free Wi-Fi.

Monumental Metro Station is just 3 minutes’ walk away from Hotel Glòries, and offers a direct service to Plaza Catalunya in around 5 minutes.

The hotel is well located for the 22@ high-tech area, as well as the Agbar Tower. The National Theatre of Catalunya and the Auditori Concert Hall are just 400 metres away.

The Hotel Glòries’s 24-hour front desk offers car and bike hire. They can also exchange currency and reserve tickets."
12,Aparthotel Senator Barcelona,7.6,"Double or Twin Room with Kitchen - Ground Floor
Beds: 1 double or 2 singles
Free cancellation
Only 2 rooms left at this price on our site","€ 1,274","Sarrià-St. Gervasi, BarcelonaShow on map2.6 km from centreMetro access","You're eligible for a Genius discount at Aparthotel Senator Barcelona! To save at this property, all you have to do is sign in.
The Aparthotel Senator Barcelona is situated on Via Augusta, in a pleasant residential area, a 2-minute walk from Muntaner Train Station. It includes air conditioning, heating, and free Wi-Fi in hotel rooms.

All rooms and apartments have a TV, telephone, and a private bathroom with a bathtub or a shower. The apartments also include an equipped with kitchenette.

A 6-minute train ride will take you to Plaza Cataluña and Barcelona city centre. Sagrada Familia Cathedral is 3.3 km away."
13,Hotel Lloret Ramblas,8.0,"Superior Double Room
1 double bed
Only 3 rooms left at this price on our site","€ 1,379","Ciutat Vella, BarcelonaShow on map250 m from centreMetro accessBeach nearby","Hotel Lloret Ramblas is situated on Barcelona’s famous Las Ramblas, just outside Plaza Catalunya Square. It offers a 24-hour reception and air-conditioned rooms with flat-screen satellite TV and free Wi-Fi.

Each functional room at the Lloret Ramblas Hotel features a work desk and a private bathroom with amenities. Some rooms also have a private balcony.

Breakfast is served in Hotel Lloret Ramblas’s beautiful lounge-dining room, which dates from the early 20th century. The reception area has a free PC with internet and a free safe.

Barcelona Cathedral and the MACBA Modern Art Museum are both around 500 metres from Hotel Lloret. Catalunya Metro Station is a 1-minute walk away, and direct airport buses stop within 100 metres."
14,Catalonia Gran Via BCN,8.7,"Superior Double Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,619","Eixample, BarcelonaShow on map0.9 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Catalonia Gran Via BCN! To save at this property, all you have to do is sign in.
Catalonia Gran Via BCN is set on Gran Vía and within 5 minutes’ walk of Urgell and Universitat Metro Stations, and beside the airport bus stop. It features an outdoor swimming pool, a gym and free Wi-Fi.

Each of the modern rooms at Catalonia Gran Via BCN is themed around a different city and air travel. All rooms have flat-screen TVs with satellite channels and an iPod docking station.

You can enjoy breakfast in Catalonia Gran Via BCN, while à la carte options are offered in the Gourmet Corner.

You can walk to both Plaza Catalunya and Las Ramblas in 10 minutes. Plaza de España, the Magic Fountains and the FIRA are just 2 stops from Urgell Station."
15,Unite Hostel Barcelona,8.2,"Double Room with Private Bathroom
Multiple bed types
Free cancellation
Only 2 rooms left at this price on our site","€ 2,027","Sant Martí, BarcelonaShow on map2.2 km from centreMetro accessBeach nearby","Set in Barcelona, 400 metres from Nova Icaria, Unite Hostel Barcelona offers accommodation with a restaurant, private parking, a bar and a shared lounge. Among the facilities at this property are a 24-hour front desk and a shared kitchen, along with free WiFi throughout the property. The hostel features family rooms.

At the hostel, all rooms are fitted with air conditioning and a private bathroom.

The accommodation offers a terrace.

Popular points of interest near Unite Hostel Barcelona include Somorrostro, Bogatell and Port Olimpic. The nearest airport is Barcelona El Prat Airport, 18 km from the hostel."
16,Catalonia Eixample 1864,8.4,"Standard Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,329","Eixample, BarcelonaShow on map0.7 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Catalonia Eixample 1864! To save at this property, all you have to do is sign in.
Located in Barcelona’s Eixample district, this 19th-century building offers stylish modern interiors and free WiFi. It is just 300 metres from the designer shops and Gaudí buildings of Passeig de Gràcia Boulevard.

The Catalonia Eixample 1864 is housed in one of the Eixample’s oldest buildings, and its painted façade gives it the Speciality Monument status.

All soundproofed en-suite rooms sleek wooden floors and furniture, air conditioning and all rooms have smart TVs, which are equipped with Chromecast app.. Some rooms have a private terrace and pool.

A buffet breakfast with show cooking is offered every morning at the Sala Minerva; while the hotel's Les Finestres de Llúria restaurant serves traditional Catalan food with a creative twist. Room service is also available.

Catalonia Eixample 1864 boasts a rooftop swimming pool, sundeck and bar; as well as a gym.

The Catalonia Eixample 1864 is ideally located just a 5-minute walk from Passeig de Gracia Station. Plaza Catalunya Square is a 10-minute walk away.

The hotel offers private parking on-site for an extra cost and an electric vehicle charging station."
17,Silken Sant Gervasi,8.4,"Standard Twin Room
2 single beds
Only 1 room left at this price on our site","€ 1,128","Sarrià-St. Gervasi, BarcelonaShow on map3.2 km from centreMetro access","Located in the quiet San Gervasi district of Barcelona, this elegant hotel offers modern rooms with free internet connection. The Silken is just 8 minutes by train from Plaza Catalunya.

The restaurant at Silken San Gervasi offers traditional cuisine with modern influences. A breakfast buffet is served in the cafeteria, and drinks and snacks are also available throughout the day.

Functional rooms include a free safe and central heating and air conditioning. The marble bathroom is complete with a hairdryer.

Silken St. Gervasi is a 15-minute walk from Park Guell, with impressive structures, mosaics and architecture by Antoni Gaudí. El Putxet Station can be found 50 metres from the hotel with direct access to the city centre."
18,Aparthotel Bcn Montjuic,8.3,"Double or Twin Room
Beds: 1 double or 2 singles","€ 1,286","Sants-Montjuïc, BarcelonaShow on map2.9 km from centreMetro access","Set at the foot of Montjuic Hill, this design aparthotel is a 10-minute walk from Plaza Espanya Metro Station and the Airport Bus Stop. It offers free WiFi and a rooftop terrace with a solarium and a seasonal swimming pool.

The BCN Montjuic is a 5-minute walk from Las Arenas Shopping Centre and a short walk from the Olympic Stadium. Barcelona city centre can be reached in 15 minutes by bus or Metro.

All modern rooms at the Montjuic have air conditioning and heating. They include a flat-screen TV, a seating area and a kitchen with a fridge and microwave.

The apartments also include a living area with a sofa bed, a private bathroom and an equipped kitchen with a washing machine. Bed linen and towels are provided.

The Aparthotel Bcn Montjuic has a TV room, as well as a 24-hour front desk and a tour desk, where guests can arrange to visit local attractions. Laundry service is also available."
19,Sallés Hotel Pere IV,8.1,"Deluxe Double Room with Spa Access
Multiple bed types
Free cancellation
No prepayment needed – pay at the property","€ 1,799","Sant Martí, BarcelonaShow on map2.2 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Sallés Hotel Pere IV! To save at this property, all you have to do is sign in.
Pere IV is situated in the Poble Nou District, 10 minutes’ walk from the lively Port Olimpic area and Barcelona's beaches. This hotel features a free spa, free Wi-Fi and 24-hour reception.

Each of the spacious rooms comes with a minibar, and a flat-screen TV with satellite channels.

The à la carte Garum Restaurant offers Mediterranean cuisine. The hotel serves a daily, buffet breakfast.

Guests enjoy free access to the Pere IV's spa, which includes a Finnish sauna, a hammam, indoor pool and sensation showers.

The Pere IV is a short walk from the beach and the new marina. Nearby Bogatell Metro Station offers easy access to the beach and the city centre, which can both be reached within 15 minutes."
20,Leonardo Hotel Barcelona Gran Via,8.6,"Comfort Double or Twin Room
Multiple bed types
Only 4 rooms left at this price on our site","€ 1,333","Eixample, BarcelonaShow on map1.4 km from centreMetro accessBeach nearby","This spacious and modern hotel is located in Eixample district, built in 2004, the Leonardo Hotel Barcelona Gran Via, features wide-open public spaces covered in marble.

Rooms include flat-screen TV, Wifi, safebox, desk, minibar, private bathrooms with toiletries.

A good location for tourism, you can easily walk to the Gothic Quarter and Ramblas, or up to the attractions of Montjuic. The city’s major business districts are also nearby.

Rooms include satellite TV, free Wi-Fi access, air conditioning and a bathroom with free toiletries.

Parking is available on site at an additional cost."
21,Leonardo Boutique Hotel Barcelona Sagrada Familia,8.7,"Comfort Double or Twin Room
Beds: 1 double or 2 singles
Only 3 rooms left at this price on our site","€ 1,308","Sant Martí, BarcelonaShow on map3 km from centreMetro accessBeach nearby","Leonardo Boutique Hotel Barcelona Sagrada Familia is located just 15 minutes’ walk from Gaudí’s famous Sagrada Familia. It has a rooftop sun terrace with panoramic views of Barcelona and rooms with free Wi-Fi.

All modern, outward-facing rooms at theLeonardo Boutique Hotel Barcelona Sagrada Familia are equipped with air conditioning and heating. They have a flat-screen TV and the private bathrooms come with a hairdryer.

Leonardo Boutique Hotel Barcelona Sagrada Familia serves a daily buffet breakfast, and gluten-free meals are available on prior request. In summer, breakfast can be enjoyed on the terrace. There are also vending machines with snacks and drinks.

Staff at the hotel’s 24-hour reception can provide information about what to see and do in Barcelona. Clot Metro Station is 200 metres away, allowing you to reach the city centre in 10 minutes."
22,Citadines Ramblas Barcelona,8.5,"Classic Double or Twin Room
Beds: 1 double or 2 singles","€ 1,541","Ciutat Vella, BarcelonaShow on map400 m from centreMetro accessBeach nearby","Centrally located on Barcelona’s famous Las Ramblas Boulevard, this aparthotel offers 24-hour reception and is surrounded by many restaurants, bars and shops. Free WiFi is available throughout the property.

All air-conditioned studios and apartments at Citadines Ramblas Barcelona feature a kitchen with a microwave, fridge and dishwasher. Bathrooms are equipped with hairdryers and all rooms have a flat-screen TV with satellite channels. All Classic Rooms are equipped with fridge and kettle.


Linen and towels are provided. The apartment is cleaned and linen and towels are changed for free once a week. An additional housecleaning service is available upon request and is charged according to your needs.

Bicycle and car rental can be arranged for guests at Citadines. Luggage storage is also available and the aparthotel operates a ticket service for attractions in Barcelona.

Plaza Catalunya Metro Station is just 100 metres away, and airport buses leave from the square. The impressive Boqueria Market is 2 minutes’ walk from Citadines Ramblas."
23,Sofitel Barcelona Skipper,9.0,"Superior Room with City View
1 double bed","€ 2,537","Ciutat Vella, BarcelonaShow on map2.1 km from centreMetro access","Get the celebrity treatment with world-class service at Sofitel Barcelona Skipper
The Sofitel Barcelona Skipper offers 5-star luxury next to Barcelona’s Olympic Port. It is just 100 metres from the beach, with free Wi-Fi and 2 outdoor pools.

This modern hotel has spacious bedrooms, with 55' Smart TVs and DVD players. They have an elegant bathroom with rain shower.

The Sofitel Barcelona Skipper has a rooftop pool, with impressive views of the city and sea; and a large seasonal terrace with sun loungers.

The hotel has 2 seasonal cocktail bars; while the Tendiez Bar, a modern bar with an outdoor terrace, is open all year round.

The hotel is 5 minutes’ walk from Ciutadella Vila Olimpica Metro Station, just 2 stops from the historic city centre. Barcelona Zoo and the pretty Ciutadella Park are also nearby."
24,Pestana Arena Barcelona,8.4,"King Room
1 extra-large double bed","€ 1,163","Sants-Montjuïc, BarcelonaShow on map2.3 km from centreMetro access","You're eligible for a Genius discount at Pestana Arena Barcelona! To save at this property, all you have to do is sign in.
Pestana Arena Barcelona is less than 5 minutes’ walk from Barcelona’s Plaza Espanya and Fira Exhibition Centre. It offers a gym, sauna and modern, air-conditioned rooms with free wired internet access.

Some rooms offers free use of the Maritimo Meeting Room, up to 12 people, for private meetings.

Pestana Arena Barcelona is just 3 minutes’ walk from Las Arenas Shopping Centre and you can walk to Sants Station in 8 minutes. You can get to the Rambla in 5 minutes from Plaza Espanya Metro.

Rooms feature parquet floors and stylish décor. Each one has work desk, a pillow menu and an LCD TV with satellite channels.

The hotel’s restaurant serves Mediterranean food and has a terrace. There is also a bar where you can get a snack or a drink. The hotel's breakfast includes products for celiacs."
25,Hostal Fernando,8.3,"Special Offer - Superior Double Room
Beds: 1 double or 2 singles
Breakfast included
Only 4 rooms left at this price on our site","€ 1,337","Ciutat Vella, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hostal Fernando! To save at this property, all you have to do is sign in.
Hostal Fernando is set in Barcelona’s Gothic Quarter, 100 metres from Las Ramblas and the historic Plaça Sant Jaume. It offers air-conditioned rooms and dormitories with free Wi-Fi.

The basic rooms at the Hostal Fernando come with a TV, safe and a private bathroom.

Fernando guest house has a simple restaurant and bar. There are many bars and restaurants within a short walk.

The guest house has a tour desk, and bicycle and car rental are offered. Barcelona Cathedral, the Picasso Museum and the famous Boquería Market are all within a 10-minute walk."
26,Hotel & Spa Villa Olimpica Suites,8.0,"Double Room with Spa Access
2 single beds
Free cancellation
No prepayment needed – pay at the property","€ 1,394","Sant Martí, BarcelonaShow on map2.2 km from centreMetro accessBeach nearby","This minimalist hotel is situated in the Poble Nou district of Barcelona, 15 minutes’ by foot from Bogatell Beach. It offers a seasonal outdoor pool surrounded by wooden decking and loungers.

The suites at Hotel & Spa Villa Olimpica Suites feature monochrome decoration and a flat-screen TV. They also include air conditioning and a modern bathroom.

The Hotel & Spa Villa Olimpica Suites complex offers a stylish café-bar and restaurant. Guests can enjoy Mediterranean cuisine from the á la carte and daily menus. In summer meals can be enjoyed on the terrace by the pool.

Guests have access to the hotel's large spa for an additional cost. It includes an indoor treatment pool, Finnish sauna, Turkish baths, jacuzzis, hot tubs, several types of shower and an ice fountain. There is also a gym.

Barcelona Port is 15 minutes' walk away and Bogatell Metro Station is 100 metres from the hotel. Guests can walk to the lively Villa Olimpica area in 5 minutes.

All rooms include 1 complimentary access per person per stay to the hotel spa (subject to availability and upon reservation)."
27,Hotel & Spa Villa Olimpica Suites,8.0,"Double Room with Spa Access
2 single beds
Free cancellation
No prepayment needed – pay at the property","€ 1,394","Sant Martí, BarcelonaShow on map2.2 km from centreMetro accessBeach nearby","This minimalist hotel is situated in the Poble Nou district of Barcelona, 15 minutes’ by foot from Bogatell Beach. It offers a seasonal outdoor pool surrounded by wooden decking and loungers.

The suites at Hotel & Spa Villa Olimpica Suites feature monochrome decoration and a flat-screen TV. They also include air conditioning and a modern bathroom.

The Hotel & Spa Villa Olimpica Suites complex offers a stylish café-bar and restaurant. Guests can enjoy Mediterranean cuisine from the á la carte and daily menus. In summer meals can be enjoyed on the terrace by the pool.

Guests have access to the hotel's large spa for an additional cost. It includes an indoor treatment pool, Finnish sauna, Turkish baths, jacuzzis, hot tubs, several types of shower and an ice fountain. There is also a gym.

Barcelona Port is 15 minutes' walk away and Bogatell Metro Station is 100 metres from the hotel. Guests can walk to the lively Villa Olimpica area in 5 minutes.

All rooms include 1 complimentary access per person per stay to the hotel spa (subject to availability and upon reservation)."
28,Sonder Los Arcos,8.4,"King Room
1 extra-large double bed
Only 1 room left at this price on our site","€ 1,530","Ciutat Vella, BarcelonaShow on map1 km from centreMetro accessBeach nearby","Sonder Los Arcos features accommodation with free WiFi in Barcelona, ideally set less than 1 km from Plaça Catalunya and a 15-minute walk from Tivoli Theatre. Popular points of interest nearby include Cathedral of Barcelona, Boqueria Market and Picasso Museum. The property is less than 1 km from the city centre and 2 km from Sant Sebastian Beach.

All rooms are fitted with air conditioning, a flat-screen TV with cable channels, a coffee machine, a bath or shower, free toiletries and a desk. The rooms have a private bathroom, a hairdryer and bed linen.

Popular points of interest near the hotel include Passeig de Gracia, Palau de la Musica Catalana and Portal de l'Angel. The nearest airport is Barcelona El Prat Airport, 13 km from Sonder Los Arcos."
29,Unite Hostel Barcelona,8.2,"Double Room with Private Bathroom
Multiple bed types
Free cancellation
Only 2 rooms left at this price on our site","€ 2,027","Sant Martí, BarcelonaShow on map2.2 km from centreMetro accessBeach nearby","Set in Barcelona, 400 metres from Nova Icaria, Unite Hostel Barcelona offers accommodation with a restaurant, private parking, a bar and a shared lounge. Among the facilities at this property are a 24-hour front desk and a shared kitchen, along with free WiFi throughout the property. The hostel features family rooms.

At the hostel, all rooms are fitted with air conditioning and a private bathroom.

The accommodation offers a terrace.

Popular points of interest near Unite Hostel Barcelona include Somorrostro, Bogatell and Port Olimpic. The nearest airport is Barcelona El Prat Airport, 18 km from the hostel."
30,Catalonia Rigoletto,8.4,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,219","Les Corts, BarcelonaShow on map3.7 km from centreMetro access","The stylish Catalonia Rigoletto is set 500 metres from FC Barça’s Camp Nou stadium and 5 minutes’ walk from Maria Cristina Metro Station. It offers an outdoor pool and rooms with free WiFi and flat-screen TVs.

The Rigoletto’s spacious rooms are air conditioned and decorated with dark woods and luxurious fabrics. All rooms have satellite TV, free smartphone, a minibar and safety deposit box.

A buffet breakfast is on offer in the dining room and Mediterranean cuisine is served in the stylish La Traviata restaurant. There is also a bar in the hotel featuring attractive art work.

Sights including Las Ramblas and Gaudí’s Casa Batlló can be reached in 15 minutes, by Metro. Sants Railway Station, where there is an airport train connection, is just 1.5 km from the Rigoletto."
31,Occidental Barcelona 1929,8.9,"Superior Double Room
Beds: 1 double or 2 singles
Only 5 rooms left at this price on our site","€ 1,445","Sants-Montjuïc, BarcelonaShow on map2.3 km from centreMetro access","You're eligible for a Genius discount at Occidental Barcelona 1929! To save at this property, all you have to do is sign in.
Occidental Barcelona 1929 features a seasonal outdoor swimming pool, fitness centre, a terrace and bar in Barcelona. Each accommodation at the 3-star hotel has city views and free WiFi. The property is non-smoking and is set 600 metres from Magic Fountain of Montjuic.

The hotel will provide guests with air-conditioned rooms with a wardrobe, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Occidental Barcelona 1929 all rooms are fitted with bed linen and towels.

A buffet breakfast is available every morning at the accommodation.

Speaking Catalan, English, Spanish and French at the 24-hour front desk, staff are always at hand to help.

Sants Railway Station is less than 1 km from Occidental Barcelona 1929, while Passeig de Gracia is 2.5 km away. The nearest airport is Barcelona El Prat Airport, 10 km from the hotel."
32,Leonardo Royal Hotel Barcelona Fira,8.8,"Deluxe Double or Twin Room
Beds: 1 double or 2 singles
Only 4 rooms left at this price on our site","€ 1,131","Sants-Montjuïc, BarcelonaShow on map4.3 km from centreMetro access","Situated in Barcelona, 1.5 km from Palau Sant Jordi, Leonardo Royal Hotel Barcelona Fira features air-conditioned accommodation and a bar. Boasting a 24-hour front desk, this property also welcomes guests with a restaurant and an outdoor pool. Camp Nou is 2.9 km away and Boqueria Market is 4 km from the hotel.

At Leonardo Royal Hotel Barcelona Fira rooms come with a desk, a flat-screen TV and a private bathroom.

Guests at the accommodation can enjoy a buffet breakfast.

Leonardo Royal Hotel Barcelona Fira offers a terrace.

Magic Fountain of Montjuic is 2 km from the hotel, while Montjuïc is 2.1 km from the property. The nearest airport is Barcelona El Prat Airport, 8 km from Leonardo Royal Hotel Barcelona Fira."
