,hotel_name,rating,room_description,price,location_descirption,hotel_link,long_description
0,Ciudad Condal Hostal - Paseo de Gracia,7.2,"Superior Double or Twin Room
Beds: 1 double or 2 singles
Only 6 rooms left at this price on our site","€ 1,058","Eixample, BarcelonaShow on map1 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/ciudad-condal-hostal.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=28683805_89006351_0_0_0&highlighted_blocks=28683805_89006351_0_0_0&matching_block_id=28683805_89006351_0_0_0&sr_pri_blocks=28683805_89006351_0_0_0__105765&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Ciudad Condal Hostal - Paseo de Gracia! To save at this property, all you have to do issign in.Ciudad Condal Hostal - Paseo de Gracia provides accommodation located in the neighbourhood of the city of Barcelona. The rooms are distributed on the main floor of an architectural house, catalogued by City Heritage Casa Àngel Batlló on Calle Mallorca 255, between the famous Passeig de Gràcia and the vibrant Rambla de Catalunya.

All rooms are equipped with air conditioning, heating, private bathroom, window, flat screen TV, desk, safe, trunk, hair dryer, basic amenities and free Wi-Fi. Due to the architectural characteristics of the building, all the rooms are different, each one of them designed in a clean and functional way, adapting to each space.

The property offers single, double, superior double, triple, and suite/family rooms for up to 4 pax, some of them with a view of the street with a balcony or to the famous interior gardens of the architectural plan of the Ensanche district of Barcelona Plà Cerdà and others are interior rooms.

There is a range of cafés and restaurants on Passeig de Gràcia and in the nearby area of Gràcia.

Gaudí’s Casa Batlló and La Pedrera are within 200 metres of the property. Diagonal Metro Station is a 5-minute walk away and is just 2 stops from Plaza de Catalunya and Las Ramblas."
1,DO Plaça Reial powered by Sonder,8.4,"Queen Room
1 large double bed
Only 1 room left at this price on our site","€ 2,923","Ciutat Vella, BarcelonaShow on map0.9 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/do.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=37584712_88208115_2_2_0&highlighted_blocks=37584712_88208115_2_2_0&matching_block_id=37584712_88208115_2_2_0&sr_pri_blocks=37584712_88208115_2_2_0__292280&nad_id=0c63f4dd-db23-4219-9c40-2879cb60cf1c_4&nad_cpc=0.74&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ikw4aEtqODZOVTJvb1lPVlJqNkIzMTQ2NE5ob0MvamdkM3E4M081bHFndGJsMHJPNTNtVXdEYXNzSUtWdXhlYzdOaWdNalpFdVh4b2lKWExNaHQxRVdLZzNRWUt2a2lDSUlucFpEWjh5NmRZeExwd2plVnFIajNDN3F5VHdkWXp2QkNqYXpaaFp1Vml5b2tQNDlaT2tLblpFN0NCRUZCRDFNK0FpWHV3MXVOVHp1Yk9JNGdXdk9ZcGUzVG5mUWN0RnowcnY4U0NLelRkVitUaDUrc3A2bW11TFRGYVVCeDNoQjdDbzdpTG9ITUkwVlVyNldGdGc0VUJEeU9hblhRc1ZNd1p1OU1HSmZ5TFlhNTNhdGVINjEzUzUxVlFWeS9MeEorQUtqakFhQkRiNFNTQ0NGbGNHd0NUV0xJaEZCeW5pNUJOMkdKTUV0VHFvcTVVVzR3R2s2aU05L0RZT2dQMWZDWldCakpSUFVyRlVhNDFLWnFUaDhQOXhlQmFYZVBNNlZSTFZWZzR2QS9jVVdiMllDcmVHWUdSczYrZnVWZStMd2o5WFo1eUU4L0R2S0ZjUTFJWkpuTm5XQnlFcFc5cit4SU80aTg0ZFlhZ3M3SWgxTnBCdFBESU9DTE4yL0VCTk9ObXd5VlRHaENXekxuUzN0cUtnRjNLWXNZMVhVUlVscjhuTkVOd2svYjhSNlZTbFlQYXBiSFBvemoydkdES2VTK1JzMGNXeGNJM2xVVHl3em1Say9oSUJveUpaaGVpMDltMVR0NjQ3bzdBOEdQZzArbG1td1NpQ3hRRGdwbmY0Zk1VRlJMK2tDNm9kZkVzRG5nZTQvVjhFTGFHRk1pb0lMT1pwOVV2b1QzSGN3aDcrcU9xcUYzRjBWbzVhclZUeVJHaXdsUlgxTTJpWjBwZFlVZTZJcDk4c2hZbkxlV2VuK25rejRhNk9kaDJLQnRVcVJTb0hHYnZYeXoxZUo2OVFUWHZxaU1TaTFQallVMFlFQ01hSkMxdFVxLzg2QTEyR0l3L2F4SVRLTk1aTldVVE04Rkh0ZzUzK0g4L0NpZWFkRXZheTRjNGhsVzM4OEJMRW9QVUxIM1NoN3NnNGdXOTV5NkxNdlZXbVViQ05nMTNIVEFMZnVQa3ArMTVoL0ZvSUJSK3JHTDZwVXN5N0tnd21WVUEyTG9tV1dTK2ttWXYrYWZuUm16Y2NIV0VjUk9UaGwxR1ZqVDJ6K1piZXdZZm5sTldHOGlXVlY5NDc2aSt4YUl0ckx3aGNaZXJkSWxPNDU5LzJUN1RiYU9BelZUTVpqNHpyUVFkZzNaOFZDcWsrZEFUVVRkL0VHSTllUUJMNXZwLzNQZys4dXo2REYzNW1sNGxMSVJlWTU1OFUzOU1oQk5QeGMrWVVVYVAyVXZkaS9QMEl6ejVySjlML3ZudTV4cE5ZUXpZWjhpcXJTWW1DTG54YUY4bi9nTUdDdXBDN1ZtbURmM2lyazVpYVc1cmV3L3JZaFpPaGMyRHFMTkRHY1E1U0xKTUJ6eWI5TnVvVm9JZDVHVUs5aHd2SkRFM1JBYUJsRE1wRmRVWVNkbzFvTFU5bnVuUzBWazBSZnZPKzUzRHFub2ZBWHc3MkxONGRQN2o1TkkxTjBOTFVoQlZHQWRaQWEyNFFRRTB2UGs2ZXVCRW8yd3g5aXpvb1V1VFV2ZzdydHh3czVNRGVPTEdHbkxiRldyQWNVNDludjllTXFoTEtBV0ZkWElwNEYzYVprU2RtN2JZc2hwcmw3RURuQVpnbzFOc2JucGUvRUtTUG5JY28xTEpSL2ZCK0tHWXhGSDd1S01RWlpBa085TkJUbjVITDNBbjhJUnZrVjhtemx6ZlErZGV3aFA3SVR0ZlprdFhoVUo3MGo5UEloa0wyMWVZb2Z2VlhRU1g5V2hLaWJxVmlLWHNPRUdkeFJiMXRwNUYwNURMWXp1ZGVLTHk5andoVFhoVGdvTUNmUktvSzFSUnVSSUpyU1p3dFRmejF3RWdWU3llTThML1NLakxhYU1WS0VyNUtseHdFbEhCNzd6ck1DS2hYRGN5TGlxYm1zdnFQVVlLS3oxaEtrck10cm8vWFJ5bTR3bHQ5c1lnWlBnQkJackVjWjhlWVF5VXhETldkMXQ5c3N0VjdlUTd0QlR5dFY2MUJGWnZKTXU4c3RueCtzZlJuWk9QaVFwVmRpWmV3Zmg5cFl3V09wcityUkx3NE13WDkvTnhEK0Qvemk1d2xFRzJmQVdHNjNyQWlmcURSclBONGNwT2NsZ1l5R2lKdVFKTElxYXNieDNOSkxyZU9WcTR0SkRESFVVN2Z2aEpBcHltYnUzYTI1WG9hNTZ2MXVKaEUwRDlST2JrU0RVOTM3L2M1NlQwVUYwQ096N3dLQTd4V0V6NHAyNjVRVzlrMkUvb2RNM2dkU1NMTjRhSDFVVndxUGNDTkladEQ2Ylc4NXJ6aTJYMms2NzNyOTAzU3F0MlFGcThYc05FTHJubXlYUEtad1ZSS0Rwc3VoUU9uV0liS1g3SS82dUZ2MlBrKzBCSWxsSTJUdzZIekZCRGZIeEVIVFA5QkV0YUs0T3pCRlMvREZuRnhQWmZ2UVdjTDhaS0NGYmZzdVVIVUk4NUpTcXE3eUFlZ0RaemRmd2tCNXN3aU14UExsbW91NkxIbmF2bEFvUzYxNTBIYnhqSHVuRm9ZUVFxZ0ZCSk5UcXhxZFp2RVVBdFNlcVF6dzVleHB6TENTbUdPa2x5S1hoa0xXemt0SjBXOFIzdm9ZL3EwWE02R0hBZGVUWDQybWhCMmhqREFXSXRsSkljNTB2WG1zcmtVN2IxbUQzMXRLYnNsL0pLZWY4aFprUUZrdWV5dUNOc0c0c3RlWlhIaEQ0c3pYeURMbTdwWGVYYUpSays3VFFmS0tkRWhlVSt6cUZTcU9jQ1RybGlETFQyS0ZHRTJ6ZEwzRzlrYi9VQnlReUJWVWhQaXl0YUR2RDdnU1dHK3dLR3VlQmt3bTBFdWErbllEeis2NmZNU1Jya3BMOVpDRE9BVWRVRkEzKzlQdnEydVFkV1VmdVJqS2NRSE44eG1oU2ZIR21vVk13cUtIRnFNemJwZ0ZOSVo5RnQvWHVRQ1NTVnh1allMS3hOR0phWUg0T3czWlI2aXR0QlN5T2NjaVlJNHBtZEswUU1ka0pjR2hwMEl3WUV5QnVoaXFQWHlMNXlWZWwyN0J6UHB1N080WkxYVm1jZlh0Y00wTzFlUGlXdHJtQXIrUWhuNkMvRWxMNWxHIn0%3D&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at DO Plaça Reial powered by Sonder! To save at this property, all you have to do issign in.Set on Plaza Reial and just off Las Ramblas, DO Plaça Reial powered by Sonder features a spa, a rooftop pool and stylish rooms. Bars and cafés can be found in the square and in the surrounding Gothic Quarter.

Each spacious, air-conditioned room offers a free Wi-Fi, a flat-screen TV and a free minibar.

In the mornings, the DO Plaça Reial offers a paid breakfast. Creative Mediterranean cuisine and tapas dishes are also served in the restaurant.

The hotel spa features a sauna.

The famous Boquería Market is just 5-minute walk away. Barcelona Cathedral, Liceu Metro and Plaza Catalunya are within 1 km of the hotel."
2,SEALONA VILA OLIMPICA,,"One-Bedroom Apartment
1 double bed
Free cancellation
Only 1 left at this price on our site",€ 543,"Sant Martí, BarcelonaShow on map1.8 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/sealona-vila-olimpica.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=1145535901_387391318_2_2_0&highlighted_blocks=1145535901_387391318_2_2_0&matching_block_id=1145535901_387391318_2_2_0&sr_pri_blocks=1145535901_387391318_2_2_0__54336&from=searchresults#hotelTmpl,"Situated in Barcelona, 1.1 km from Nova Icaria Beach and 1.2 km from Somorrostro Beach, SEALONA VILA OLIMPICA offers pool with a view and air conditioning. Boasting a 24-hour front desk, this property also provides guests with an outdoor fireplace. There is a sun terrace and guests can make use of free WiFi and free private parking.

The spacious apartment has 1 bedroom, a flat-screen TV, an equipped kitchen, a washing machine and 1 bathroom with a bath. Guests at this apartment are welcome to enjoy fruits and chocolates or cookies. Housekeeping service is also available.

An à la carte breakfast is available each morning at the apartment. A coffee shop can be found on-site, and in the warmer months you can make use of the barbecue facilities.

For guests with children, SEALONA VILA OLIMPICA features outdoor play equipment. Guests at the accommodation can enjoy billiards on-site, or go cycling or hiking in the surroundings.

Popular points of interest near SEALONA VILA OLIMPICA include Bogatell Beach, Port Olimpic and Picasso Museum. The nearest airport is Barcelona El Prat, 14 km from the apartment, and the property offers a paid airport shuttle service."
3,Hotel Cantón,8.3,"Superior Twin Room
2 single beds
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site",€ 903,"Ciutat Vella, BarcelonaShow on map1.2 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/canton-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=27373213_348629260_2_2_0&highlighted_blocks=27373213_348629260_2_2_0&matching_block_id=27373213_348629260_2_2_0&sr_pri_blocks=27373213_348629260_2_2_0__90276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hotel Cantón is situated in central Barcelona, less than 300 metres from Las Ramblas and the city’s Old Port. It offers 24-hour reception and rooms with satellite TV and free Wi-Fi access throughout.

The Cantón has brightly decorated rooms with private bathrooms. Each has a fridge, air conditioning and heating.

The Cantón serves a daily breakfast and has a vending machine selling hot drinks. Guests can make use of the hotel’s TV room, where there is also computer.

The Cantón has easy access to many of Barcelona’s tourist attractions and has a tour desk. Plaza Reial is less than 5 minutes’ walk from the hotel and there are several bars and restaurants within walking distance.

Drassanes Metro Station is under 500 metres from the Cantón and Sants Train Station is 5 stops away."
4,Hotel Sansi Barcelona,8.0,"Basic Double
1 double bed","€ 1,235","Eixample, BarcelonaShow on map450 m from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/sansi-barcelona-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__123529&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Hotel Sansi Barcelona! To save at this property, all you have to do issign in.Well situated in the Eixample district of Barcelona, Hotel Sansi Barcelona is set 600 metres from Plaça Catalunya, 400 metres from Passeig de Gracia Metro Station and 500 metres from Casa Batllo. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is 400 metres from Passeig de Gracia, and within 600 metres of the city centre.

The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bath.

Popular points of interest near Hotel Sansi Barcelona include Boqueria Market, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."
5,Catalonia Eixample 1864,8.4,"Standard Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,329","Eixample, BarcelonaShow on map0.7 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/catalonia-eixample-1864.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=9058506_194606341_0_2_0&highlighted_blocks=9058506_194606341_0_2_0&matching_block_id=9058506_194606341_0_2_0&sr_pri_blocks=9058506_194606341_0_2_0__132880&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Catalonia Eixample 1864! To save at this property, all you have to do issign in.Located in Barcelona’s Eixample district, this 19th-century building offers stylish modern interiors and free WiFi. It is just 300 metres from the designer shops and Gaudí buildings of Passeig de Gràcia Boulevard.

The Catalonia Eixample 1864 is housed in one of the Eixample’s oldest buildings, and its painted façade gives it the Speciality Monument status.

All soundproofed en-suite rooms sleek wooden floors and furniture, air conditioning and all rooms have smart TVs, which are equipped with Chromecast app.. Some rooms have a private terrace and pool.

A buffet breakfast with show cooking is offered every morning at the Sala Minerva; while the hotel's Les Finestres de Llúria restaurant serves traditional Catalan food with a creative twist. Room service is also available.

Catalonia Eixample 1864 boasts a rooftop swimming pool, sundeck and bar; as well as a gym.

The Catalonia Eixample 1864 is ideally located just a 5-minute walk from Passeig de Gracia Station. Plaza Catalunya Square is a 10-minute walk away.

The hotel offers private parking on-site for an extra cost and an electric vehicle charging station."
6,Catalonia Diagonal Centro,8.4,"Room Assigned on Arrival
1 single bed
Free cancellation","€ 1,260","Eixample, BarcelonaShow on map1.3 km from centreMetro access",https://www.booking.com/hotel/es/catalonia-diagonal-centro.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__125982&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Catalonia Diagonal Centro! To save at this property, all you have to do issign in.Catalonia Diagonal Centro is set in the heart of Barcelona’s Eixample district, 300 metres from Diagonal Metro Station. It features a seasonal outdoor pool and free Wi-Fi throughout the hotel.

At the Catalonia Diagonal Centro, you can enjoy modern, comfortable accommodation next to some of Barcelona’s most popular sights. All hotel rooms have smart TVs, which are equipped with Chromecast app

Only 300 metres away on Passeig de Gràcia is La Pedrera, one of Gaudi’s famous creations. Take a stroll past the Modernista buildings to reach Plaça Catalunya and the lively Ramblas area.

Back at the hotel, relax in your stylish bedroom with contemporary wooden furniture and marble en suite bathroom. Watch satellite television or take advantage of the free wireless internet connection.

A short stroll from the hotel takes you to trendy Gràcia, with its bohemian shops and leafy squares, and a huge selection of bars and restaurants. Nearby metro and bus lines make it easy to see the whole of this cosmopolitan city."
7,Hotel Lleó,8.2,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site","€ 1,343","Ciutat Vella, BarcelonaShow on map350 m from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/lleo.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=9116202_275786763_0_2_0&highlighted_blocks=9116202_275786763_0_2_0&matching_block_id=9116202_275786763_0_2_0&sr_pri_blocks=9116202_275786763_0_2_0__134326&from=searchresults#hotelTmpl,"Hotel Lleó is situated next to Barcelona's Plaza Catalunya and the famous Las Ramblas. It has a small rooftop pool with sun terrace and loungers, free Wi-Fi access and rooms with flat-screen TVs.

The Hotel Lleó is elegantly decorated with polished floors, glass features and attractive lighting throughout. Its air-conditioned rooms are spacious and have fridges and satellite TV.

The restaurant serves a range of Mediterranean cuisine. It also serves a daily breakfast from 07:00 until 11:00.

The Lleó has a lounge area and snack bar, where guests can relax with a drink.

Hotel Lleó is within walking distance of many of Barcelona's attractions and Las Ramblas is just a minute's walk away. The nearest Metro Station is 100 metres from the hotel and connects guests to sights such as Gaudí’s Casa Batlló and the Sagrada Familia, within 10 minutes."
8,Catalonia Born,8.7,"Double Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,299","Ciutat Vella, BarcelonaShow on map0.9 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/cataloniaborn.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=9058609_194604655_0_2_0&highlighted_blocks=9058609_194604655_0_2_0&matching_block_id=9058609_194604655_0_2_0&sr_pri_blocks=9058609_194604655_0_2_0__129880&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in a 19th-century building in Barcelona’s El Born district, Catalonia Born offers a rooftop pool, an attractive central courtyard and free Wi-Fi. Arc de Triomf Metro Station is 250 metres away.

The classic rooms at Catalonia Born Hotel come with an elegant marble bathroom. They also include a satellite TV and centrally controlled heating or air conditioning, depending on the season.

A buffet breakfast is served, and the snack bar is open for lunch and dinner. There is also a bar in the lobby.

Located minutes from França Train Station, the hotel is well-connected to the rest of the city and its surroundings. Car rental is also available from the tour desk."
9,Hesperia Barcelona Barri Gòtic,8.0,"Small Double Room
1 double bed
Free cancellation","€ 1,323","Ciutat Vella, BarcelonaShow on map1.1 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/hesperiametropol.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=9181906_266150499_0_0_0&highlighted_blocks=9181906_266150499_0_0_0&matching_block_id=9181906_266150499_0_0_0&sr_pri_blocks=9181906_266150499_0_0_0__132288&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Hesperia Barcelona Barri Gòtic! To save at this property, all you have to do issign in.Hesperia Barcelona Barri Gòtic is in Barcelona’s Gothic Quarter, just 100 metres from the port and 500 metres from Las Ramblas.

Barceloneta Beach is a 15-minute stroll from the Hesperia Barcelona Barri Gotic.

Its bright, modern rooms offer free WiFi and a flat-screen TV. They also have air conditioning or heating and a safe. The private bathrooms come with a hairdryer and toiletries.

You can find a range of lively bars in the surrounding streets.

Barcelona Aquarium and Maremagnum Shopping Centre are 800 metres away."
10,Golden Hotel Barcelona,8.4,"Double Room
Beds: 1 double or 2 singles
Free cancellation","€ 1,319","Sant Martí, BarcelonaShow on map2.3 km from centreMetro accessBeach nearby",https://www.booking.com/hotel/es/golden-tulip-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=fb89a2ec06f10296&srepoch=1706656221&all_sr_blocks=231129012_0_2_0_0&highlighted_blocks=231129012_0_2_0_0&matching_block_id=231129012_0_2_0_0&sr_pri_blocks=231129012_0_2_0_0__131926&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in Barcelona, 1.4 km from Sagrada Familia, Golden Hotel Barcelona is a sustainable property with the Biosphere certificate. It provides a rooftop terrace with outdoor swimming pool, jacuzzi and bar. 1.5 km from Port Olympic, the property is also 1.7 km from Sagarda Familia and 1.9 km away from Picasso Museum. There is a gym, a restaurant and a shared lounge.

 All guests staying at the Golden Hotel Barcelona get 1 free entry for person and stay to the spa at Hotel & Spa Villa Olimpic@ Suites complex (subject to availability and with prior reservation), located 450 meters away.

A buffet breakfast is available each morning at the property.

Speaking Spanish, Catalan, German and English at the reception, staff are ready to help around the clock.

Barcelona El Prat Airport is 15 km from the property."
